Year,Round,Pick,Name,Team,Position
2006,1,2,Reggie Bush,Saints,RB
2006,1,3,Vince Young,Titans,QB
2006,1,4,D'Brickashaw Ferguson,Jets,T
2006,1,5,A.J. Hawk,Packers,LB
2006,1,6,Vernon Davis,49ers,TE
2006,1,7,Michael Huff,Raiders,DB
2006,1,8,Donte Whitner,Bills,DB
2006,1,9,Ernie Sims,Lions,LB
2006,1,10,Matt Leinart,Cardinals,QB
2006,1,11,Jay Cutler,Broncos,QB
2006,1,12,Haloti Ngata,Ravens,DT
2006,1,13,Kamerion Wimbley,Browns,LB
2006,1,14,Brodrick Bunkley,Eagles,DT
2006,1,15,Tye Hill,Rams,DB
2006,1,16,Jason Allen,Dolphins,DB
2006,1,17,Chad Greenway,Vikings,LB
2006,1,18,Bobby Carpenter,Cowboys,LB
2006,1,19,Antonio Cromartie,Chargers,DB
2006,1,20,Tamba Hali,Chiefs,DE
2006,1,21,Laurence Maroney,Patriots,RB
2006,1,22,Manny Lawson,49ers,LB
2006,1,23,Davin Joseph,Buccaneers,G
2006,1,24,Johnathan Joseph,Bengals,DB
2006,1,25,Santonio Holmes,Steelers,WR
2006,1,26,John McCargo,Bills,DT
2006,1,27,DeAngelo Williams,Panthers,RB
2006,1,28,Marcedes Lewis,Jaguars,TE
2006,1,29,Nick Mangold,Jets,C
2006,1,30,Joseph Addai,Colts,RB
2006,1,31,Kelly Jennings,Seahawks,DB
2006,1,32,Mathias Kiwanuka,Giants,DE
2005,1,1,Alex Smith,49ers,QB
2005,1,2,Ronnie Brown,Dolphins,RB
2005,1,3,Braylon Edwards,Browns,WR
2005,1,4,Cedric Benson,Bears,RB
2005,1,5,Cadillac Williams,Buccaneers,RB
2005,1,6,Adam Jones,Titans,DB
2005,1,7,Troy Williamson,Vikings,WR
2005,1,8,Antrel Rolle,Cardinals,DB
2005,1,9,Carlos Rogers,Redskins,DB
2005,1,10,Mike Williams,Lions,WR
2005,1,11,Demarcus Ware,Cowboys,DE
2005,1,12,Shawne Merriman,Chargers,LB
2005,1,13,Jammal Brown,Saints,T
2005,1,14,Thomas Davis,Panthers,DB
2005,1,15,Derrick O. Johnson,Chiefs,LB
2005,1,16,Travis Johnson,Texans,DT
2005,1,17,David Pollack,Bengals,DE
2005,1,18,Erasmus James,Vikings,DE
2005,1,19,Alex Barron,Rams,T
2005,1,20,Marcus Spears,Cowboys,DE
2005,1,21,Matt Jones,Jaguars,WR
2005,1,22,Mark Clayton,Ravens,WR
2005,1,23,Fabian Washington,Raiders,DB
2005,1,24,Aaron Rodgers,Packers,QB
2005,1,25,Jason Campbell,Redskins,QB
2005,1,26,Chris Spencer,Seahawks,C
2005,1,27,Roddy White,Falcons,WR
2005,1,28,Luis Castillo,Chargers,DT
2005,1,29,Marlin Jackson,Colts,DB
2005,1,30,Heath Miller,Steelers,TE
2005,1,31,Mike Patterson,Eagles,DT
2005,1,32,Logan Mankins,Patriots,G
2004,1,1,Eli Manning,Chargers,QB
2004,1,2,Robert Gallery,Raiders,T
2004,1,3,Larry Fitzgerald,Cardinals,WR
2004,1,4,Philip Rivers,Giants,QB
2004,1,5,Sean Taylor,Redskins,DB
2004,1,6,Kellen Winslow Jr,Browns,TE
2004,1,7,Roy Williams,Lions,WR
2004,1,8,DeAngelo Hall,Falcons,DB
2004,1,9,Reggie Williams,Jaguars,WR
2004,1,10,Dunta Robinson,Texans,DB
2004,1,11,Ben Roethlisberger,Steelers,QB
2004,1,12,Jonathan Vilma,Jets,LB
2004,1,13,Lee Evans,Bills,WR
2004,1,14,Tommie Harris,Bears,DT
2004,1,15,Michael Clayton,Buccaneers,WR
2004,1,16,Shawn Andrews,Eagles,T
2004,1,17,D.J. Williams,Broncos,LB
2004,1,18,Will Smith,Saints,DE
2004,1,19,Vernon Carey,Dolphins,G
2004,1,20,Kenechi Udeze,Vikings,DE
2004,1,21,Vince Wilfork,Patriots,DT
2004,1,22,J.P. Losman,Bills,QB
2004,1,23,Marcus Tubbs,Seahawks,DT
2004,1,24,Steven Jackson,Rams,RB
2004,1,25,Ahmad Carroll,Packers,DB
2004,1,26,Chris Perry,Bengals,RB
2004,1,27,Jason Babin,Texans,DE
2004,1,28,Chris Gamble,Panthers,DB
2004,1,29,Michael Jenkins,Falcons,WR
2004,1,30,Kevin Jones,Lions,RB
2004,1,31,Rashaun Woods,49ers,WR
2004,1,32,Ben Watson,Patriots,TE
2003,1,1,Carson Palmer,Bengals,QB
2003,1,2,Charles Rogers,Lions,WR
2003,1,3,Andre Johnson,Texans,WR
2003,1,4,Dewayne Robertson,Jets,DT
2003,1,5,Terence Newman,Cowboys,DB
2003,1,6,Johnathan Sullivan,Saints,DT
2003,1,7,Byron Leftwich,Jaguars,QB
2003,1,8,Jordan Gross,Panthers,T
2003,1,9,Kevin Williams,Vikings,DE
2003,1,10,Terrell Suggs,Ravens,DE
2003,1,11,Marcus Trufant,Seahawks,DB
2003,1,12,Jimmy Kennedy,Rams,DT
2003,1,13,Ty Warren,Patriots,DT
2003,1,14,Michael Haynes,Bears,DE
2003,1,15,Jerome McDougle,Eagles,DE
2003,1,16,Troy Polamalu,Steelers,DB
2003,1,17,Bryant Johnson,Cardinals,WR
2003,1,18,Calvin Pace,Cardinals,DE
2003,1,19,Kyle Boller,Ravens,QB
2003,1,20,George Foster,Broncos,T
2003,1,21,Jeff Faine,Browns,C
2003,1,22,Rex Grossman,Bears,QB
2003,1,23,Willis McGahee,Bills,RB
2003,1,24,Dallas Clark,Colts,TE
2003,1,25,William Joseph,Giants,DT
2003,1,26,Kwame Harris,49ers,T
2003,1,27,Larry Johnson,Chiefs,RB
2003,1,28,Andre Woolfolk,Titans,DB
2003,1,29,Nick Barnett,Packers,LB
2003,1,30,Sammy Davis,Chargers,DB
2003,1,31,Nnamdi Asomugha,Raiders,DB
2003,1,32,Tyler Brayton,Raiders,DE
2002,1,1,David Carr,Texans,QB
2002,1,2,Julius Peppers,Panthers,DE
2002,1,3,Joey Harrington,Lions,QB
2002,1,4,Mike Williams,Bills,T
2002,1,5,Quentin Jammer,Chargers,DB
2002,1,6,Ryan Sims,Chiefs,DT
2002,1,7,Bryant McKinnie,Vikings,T
2002,1,8,Roy Williams,Cowboys,DB
2002,1,9,John Henderson,Jaguars,DT
2002,1,10,Levi Jones,Bengals,T
2002,1,11,Dwight Freeney,Colts,DE
