ID,Pick Number,Team PF,Team TO,Team Att,Team Yds.1,Team TD,Team Int,Team Att.1,Team Yds.2,Team TD.1,Team Y/A,Team 1stD.2,Opp. PF,Opp. TO,Opp. Att,Opp. Yds.1,Opp. TD,Opp. Int,Opp. Att.1,Opp. Yds.2,Opp. TD.1,Opp. Y/A,Opp. 1stD.2,Off. Rank PF,Off. Rank Yds.1,Off. Rank TO,Off. Rank Att,Def. Rank PF,Def. Rank Yds.1,Def. Rank TO,Def. Rank Att
110,15,301.0,28.0,558.0,3631.0,23.0,14.0,370.0,1554.0,13.0,4.2,78.0,373.0,14.0,530.0,3858.0,24.0,5.0,433.0,1743.0,11.0,4.0,93.0,23.0,16.0,28.0,15.0,20.0,26.0,30.0,11.0
111,16,302.0,16.0,476.0,2825.0,16.0,10.0,487.0,2017.0,12.0,4.1,105.0,359.0,25.0,573.0,3688.0,14.0,18.0,466.0,1994.0,22.0,4.3,121.0,22.0,31.0,6.0,31.0,18.0,20.0,9.0,29.0
112,17,355.0,15.0,583.0,4431.0,28.0,11.0,419.0,1595.0,10.0,3.8,84.0,272.0,27.0,524.0,3156.0,17.0,18.0,430.0,2098.0,11.0,4.9,99.0,13.0,1.0,4.0,8.0,3.0,3.0,6.0,7.0
113,18,320.0,25.0,562.0,3167.0,25.0,18.0,386.0,1724.0,13.0,4.5,99.0,384.0,22.0,513.0,3789.0,30.0,11.0,464.0,1793.0,10.0,3.9,95.0,21.0,25.0,23.0,14.0,26.0,23.0,13.0,5.0
114,19,354.0,22.0,493.0,3141.0,22.0,13.0,480.0,2170.0,18.0,4.5,127.0,332.0,21.0,559.0,3425.0,28.0,10.0,403.0,1664.0,7.0,4.1,96.0,14.0,26.0,14.0,29.0,13.0,11.0,16.0,22.0
115,20,410.0,22.0,570.0,4183.0,29.0,11.0,363.0,1221.0,10.0,3.4,58.0,376.0,32.0,570.0,3892.0,21.0,19.0,432.0,1800.0,18.0,4.2,109.0,7.0,6.0,14.0,10.0,21.0,27.0,3.0,27.0
116,21,290.0,23.0,510.0,3122.0,25.0,12.0,377.0,1366.0,6.0,3.6,72.0,349.0,14.0,561.0,3379.0,20.0,11.0,489.0,2046.0,13.0,4.2,111.0,26.0,27.0,19.0,25.0,16.0,8.0,30.0,23.0
117,22,334.0,25.0,496.0,3191.0,14.0,17.0,443.0,1833.0,18.0,4.1,97.0,356.0,21.0,605.0,3828.0,27.0,12.0,398.0,1420.0,5.0,3.6,68.0,19.0,23.0,23.0,28.0,17.0,25.0,16.0,32.0
118,23,458.0,12.0,587.0,4418.0,32.0,8.0,448.0,1889.0,16.0,4.2,107.0,296.0,18.0,590.0,4020.0,24.0,12.0,390.0,1836.0,6.0,4.7,98.0,2.0,2.0,2.0,7.0,5.0,30.0,25.0,30.0
119,24,363.0,22.0,501.0,3077.0,22.0,16.0,490.0,2102.0,15.0,4.3,121.0,327.0,21.0,550.0,3665.0,25.0,10.0,353.0,1409.0,7.0,4.0,69.0,12.0,28.0,14.0,27.0,11.0,18.0,16.0,15.0
